"sbjCode","condit","exp","file","Category","x1","y1","x2","y2","x3","y3","x4","y4","x5","y5","x6","y6","x7","y7","x8","y8","x9","y9"
"105","mixed","mc24","dot_cond4_sub105.txt",2,10,-4,6,10,4,11,-4,-2,6,-2,-10,13,13,9,-7,3,8,-9
"105","mixed","mc24","dot_cond4_sub105.txt",3,-12,16,-2,-3,10,-9,7,13,14,2,13,-13,-3,7,-4,13,3,7
"106","low","mc24","dot_cond1_sub106.txt",1,1,9,-12,16,5,3,3,-3,-10,-7,-14,10,-11,8,-10,-12,8,4
"106","low","mc24","dot_cond1_sub106.txt",2,-12,2,6,11,5,-12,8,-4,10,-1,1,-15,6,14,-3,7,16,13
"106","low","mc24","dot_cond1_sub106.txt",3,-6,-2,2,-3,2,11,15,15,-15,15,11,-12,-1,-14,15,-13,-12,-14
"107","medium","mc24","dot_cond2_sub107.txt",1,-8,15,-1,-8,-4,-14,-6,-5,4,-4,-8,10,-6,9,-5,5,13,-5
"107","medium","mc24","dot_cond2_sub107.txt",2,13,15,-4,13,-2,8,-14,2,-5,-10,6,-6,3,4,-14,11,6,9
"107","medium","mc24","dot_cond2_sub107.txt",3,-8,-9,14,-9,-1,11,8,-4,-12,2,-3,6,-14,-9,6,-6,15,5
"108","high","mc24","dot_cond3_sub108.txt",1,-6,-11,-2,9,-8,0,12,11,11,-12,-9,-8,-9,11,-12,-1,-14,9
"108","high","mc24","dot_cond3_sub108.txt",2,-11,-3,16,-13,-10,-14,-4,6,7,-14,-11,16,6,-10,-14,-4,-9,0
"108","high","mc24","dot_cond3_sub108.txt",3,-10,-7,14,8,-6,9,14,-10,-14,-1,4,11,7,-6,2,10,12,12
"109","mixed","mc24","dot_cond4_sub109.txt",1,-3,-7,-14,0,16,1,-4,0,10,-15,-5,-8,5,1,0,2,2,-9
"109","mixed","mc24","dot_cond4_sub109.txt",2,10,13,15,-11,-7,1,-9,-2,5,-5,0,5,-9,-11,-4,-13,0,15
"109","mixed","mc24","dot_cond4_sub109.txt",3,-15,-6,11,14,2,12,-8,-4,8,13,9,9,-5,1,-8,9,0,-14
"110","low","mc24","dot_cond1_sub110.txt",1,15,-6,-12,2,7,9,3,-13,13,-7,-7,-2,8,3,2,-2,-9,-6
"110","low","mc24","dot_cond1_sub110.txt",2,-4,0,15,-9,-11,5,-15,15,4,7,-11,-3,-6,-13,5,-6,-14,-5
"110","low","mc24","dot_cond1_sub110.txt",3,5,-14,-2,-2,16,3,8,-13,-11,-8,-11,1,-11,-15,-11,-12,11,5
"111","medium","mc24","dot_cond2_sub111.txt",1,-7,-10,0,-14,5,-3,-10,-7,11,14,-8,13,-10,9,14,3,1,1
"111","medium","mc24","dot_cond2_sub111.txt",2,5,10,-6,4,-5,-9,10,-14,11,9,0,12,14,-1,-3,7,12,2
"111","medium","mc24","dot_cond2_sub111.txt",3,9,-4,-8,4,-2,7,5,-6,-12,-10,10,-2,-13,6,-2,13,11,0
"112","high","mc24","dot_cond3_sub112.txt",1,10,-7,-7,-6,-3,-11,-1,13,7,-8,-13,3,-4,5,4,14,-12,12
"112","high","mc24","dot_cond3_sub112.txt",2,-7,8,15,2,-4,-10,-12,-8,4,15,-9,-2,-2,13,4,-4,-6,0
"112","high","mc24","dot_cond3_sub112.txt",3,-10,-12,14,-14,-8,6,7,11,16,14,11,-11,-8,-5,-9,9,-8,13
"113","mixed","mc24","dot_cond4_sub113.txt",1,13,-8,-5,-9,15,-9,-9,-12,5,-13,-5,8,13,3,2,-2,8,11
"113","mixed","mc24","dot_cond4_sub113.txt",2,11,2,0,1,12,15,-2,3,10,-1,8,-9,-4,-14,12,4,1,5
"113","mixed","mc24","dot_cond4_sub113.txt",3,7,-15,3,9,4,-6,-9,4,-4,6,-6,13,-13,10,-12,-4,10,-4
"114","low","mc24","dot_cond1_sub114.txt",1,5,12,-7,-14,-8,9,-11,14,-7,12,-4,-15,8,-10,-14,16,-2,12
"114","low","mc24","dot_cond1_sub114.txt",2,-6,-8,11,14,-6,-12,-5,16,-11,1,10,16,-10,6,-9,-9,11,0
"114","low","mc24","dot_cond1_sub114.txt",3,2,2,9,-4,-12,-13,10,3,13,4,5,-10,-15,13,-10,8,13,12
"115","medium","mc24","dot_cond2_sub115.txt",1,2,-2,-13,-13,5,-12,10,14,-13,-8,3,1,2,-8,9,-13,5,-2
"115","medium","mc24","dot_cond2_sub115.txt",2,0,3,-12,-15,-12,14,4,-6,-15,-5,-12,-11,3,14,-1,-4,13,-6
"115","medium","mc24","dot_cond2_sub115.txt",3,-15,9,7,15,-3,-14,11,13,11,-11,-7,-8,6,1,2,-1,14,-1
"116","high","mc24","dot_cond3_sub116.txt",1,9,6,4,-1,-2,-14,14,9,13,-1,-14,-6,3,-10,12,-15,11,2
"116","high","mc24","dot_cond3_sub116.txt",2,-11,15,-5,11,1,-5,-5,4,-14,2,-1,1,-4,-3,-4,-8,15,8
"116","high","mc24","dot_cond3_sub116.txt",3,1,5,2,15,14,-3,4,10,-12,5,-8,16,12,8,-2,2,6,-15
"117","mixed","mc24","dot_cond4_sub117.txt",1,7,11,14,-7,-7,14,-12,2,1,14,-6,-7,-6,-11,5,-3,-8,-2
"117","mixed","mc24","dot_cond4_sub117.txt",2,1,1,0,-11,0,14,13,-3,-6,-6,-7,9,-4,-10,11,-5,-10,0
"117","mixed","mc24","dot_cond4_sub117.txt",3,8,6,-4,-1,10,15,7,-7,-9,9,11,-2,8,-4,15,-14,-14,-12
"118","medium","mc24","dot_cond2_sub118.txt",1,15,-1,-10,-13,10,11,1,1,-2,-1,5,14,-3,15,-8,-11,-8,10
"118","medium","mc24","dot_cond2_sub118.txt",2,-1,-8,-1,1,15,-15,-1,13,-2,15,1,9,2,-11,-5,14,3,0
"118","medium","mc24","dot_cond2_sub118.txt",3,0,-7,12,13,-7,12,-10,10,9,-5,-3,12,12,-11,6,-8,10,7
"119","medium","mc24","dot_cond2_sub119.txt",1,2,5,-10,5,-10,16,-6,6,12,-13,-13,3,-5,-11,-9,-3,8,-5
"119","medium","mc24","dot_cond2_sub119.txt",2,-3,-3,-7,-11,11,-13,8,12,-6,-14,-3,-14,13,-10,-14,1,-2,11
"119","medium","mc24","dot_cond2_sub119.txt",3,8,-7,7,7,8,13,-9,-3,-13,-3,-5,4,-3,0,-6,-3,11,4
"12","mixed","mc24","dot_cond4_sub12.txt",1,-5,2,-11,8,4,10,10,11,15,13,12,2,-15,-7,5,0,2,6
"12","mixed","mc24","dot_cond4_sub12.txt",2,-8,-15,-7,-4,6,-1,3,-9,-12,-8,1,14,-6,-2,15,4,12,-15
"12","mixed","mc24","dot_cond4_sub12.txt",3,-11,-2,-5,-15,14,-13,15,12,11,-3,-6,-8,11,6,5,12,13,10
"12","high","mc24","dot_cond3_sub12.txt",1,5,-2,10,-3,0,14,3,15,5,-14,2,3,-6,-1,4,-4,7,-13
"12","high","mc24","dot_cond3_sub12.txt",2,-9,-9,-14,13,16,-10,-14,4,-4,-13,-5,0,4,5,-11,-11,-2,5
"12","high","mc24","dot_cond3_sub12.txt",3,10,-4,-4,-7,14,4,1,-6,11,7,10,3,2,-9,2,1,8,6
"120","high","mc24","dot_cond3_sub120.txt",1,-13,-8,-13,15,-8,9,4,-14,-15,-13,-11,-5,-1,-15,-3,-11,-10,8
"120","high","mc24","dot_cond3_sub120.txt",2,-1,7,-10,2,1,-6,-8,11,4,6,9,8,8,6,8,-1,8,-8
"120","high","mc24","dot_cond3_sub120.txt",3,4,-7,5,8,-1,14,3,4,1,10,1,-11,9,15,6,-14,9,3
"121","mixed","mc24","dot_cond4_sub121.txt",1,10,-8,-9,9,6,-12,8,-9,-1,13,-4,11,7,11,6,-8,-3,1
"121","mixed","mc24","dot_cond4_sub121.txt",2,9,-2,-9,10,-1,-14,9,-14,-1,-7,3,-1,-14,4,1,-5,-12,2
"121","mixed","mc24","dot_cond4_sub121.txt",3,6,5,4,14,-15,-8,12,-5,-12,1,9,-12,6,-5,0,-13,15,15
"122","low","mc24","dot_cond1_sub122.txt",1,1,8,2,13,0,12,11,10,8,16,0,-13,4,3,-11,9,0,-4
"122","low","mc24","dot_cond1_sub122.txt",2,-10,-5,-11,9,12,-8,-3,9,-11,-15,7,-7,-9,10,0,-2,7,-11
"122","low","mc24","dot_cond1_sub122.txt",3,7,13,0,15,9,4,-15,11,-15,4,10,11,-10,6,-8,-5,8,1
"123","medium","mc24","dot_cond2_sub123.txt",1,4,-9,7,4,9,7,-14,14,1,-4,-11,-2,0,-2,-4,-11,-3,-4
"123","medium","mc24","dot_cond2_sub123.txt",2,-12,-7,9,13,6,-13,9,-1,-2,3,-11,0,4,-7,-6,11,14,14
"123","medium","mc24","dot_cond2_sub123.txt",3,4,7,-4,1,-6,-7,3,-9,0,-7,0,1,-13,4,-12,12,-5,-4
"124","high","mc24","dot_cond3_sub124.txt",1,4,7,13,14,-13,-4,-1,8,0,2,13,-3,-6,9,-8,2,10,1
"124","high","mc24","dot_cond3_sub124.txt",2,9,6,-15,-5,-1,6,9,-5,-4,-8,-5,9,5,3,-6,-10,-10,-12
"124","high","mc24","dot_cond3_sub124.txt",3,15,-11,-12,-6,12,-3,6,-3,14,3,5,15,-2,3,-13,-8,3,-1
"13","low","mc24","dot_cond1_sub13.txt",1,-11,-9,11,-8,14,15,7,-8,-4,4,10,-5,6,6,-8,3,6,15
"13","low","mc24","dot_cond1_sub13.txt",2,2,-3,4,6,-3,6,0,-10,7,-10,14,9,10,-3,4,-5,16,12
"13","low","mc24","dot_cond1_sub13.txt",3,3,7,11,-4,-5,12,9,-2,6,2,6,-11,-13,-3,4,15,0,-3
"14","medium","mc24","dot_cond2_sub14.txt",1,-10,-10,3,-4,7,5,-1,13,-4,3,13,-5,6,-2,11,11,3,-10
"14","medium","mc24","dot_cond2_sub14.txt",2,12,-4,-14,15,4,-9,-11,-2,12,7,-5,1,-1,4,6,-14,4,-4
"14","medium","mc24","dot_cond2_sub14.txt",3,1,3,-6,16,13,0,5,5,5,-12,14,14,-12,-9,16,13,15,-8
"15","high","mc24","dot_cond3_sub15.txt",1,-12,-14,8,-4,0,6,-9,-12,6,-3,-6,12,-11,6,-5,1,-8,1
"15","high","mc24","dot_cond3_sub15.txt",2,15,-14,2,-8,-10,13,9,-1,-8,-9,8,-5,13,-6,-11,-5,-3,-8
"15","high","mc24","dot_cond3_sub15.txt",3,-2,-10,-1,2,2,-6,-2,-7,-9,-9,-2,-13,11,0,2,9,-3,-15
"16","mixed","mc24","dot_cond4_sub16.txt",1,-6,2,13,-14,0,5,16,2,-10,7,-9,-11,-6,-4,3,-14,-13,12
"16","mixed","mc24","dot_cond4_sub16.txt",2,15,2,-6,-1,5,7,-3,-2,-13,-4,-1,-8,9,3,-12,-10,7,13
"16","mixed","mc24","dot_cond4_sub16.txt",3,6,10,-6,11,3,-3,14,-4,-10,-13,-9,11,2,-12,4,2,2,-6
"18","medium","mc24","dot_cond2_sub18.txt",1,15,-7,-4,15,4,-6,9,1,6,-3,-10,13,-1,9,8,12,1,-8
"18","medium","mc24","dot_cond2_sub18.txt",2,-4,-10,12,-8,9,13,-10,4,1,-9,-4,6,7,8,5,-12,3,-13
"18","medium","mc24","dot_cond2_sub18.txt",3,-10,9,-9,12,8,7,15,-14,-10,0,-13,10,-3,-14,-1,12,10,1
"19","high","mc24","dot_cond3_sub19.txt",1,-12,-8,-14,14,13,-14,15,11,-15,-13,12,8,-7,1,-2,7,-15,-5
"19","high","mc24","dot_cond3_sub19.txt",2,-2,15,16,0,-8,-6,-14,-9,-12,5,4,5,-14,-13,10,9,5,-14
"19","high","mc24","dot_cond3_sub19.txt",3,-13,9,-9,-11,8,8,8,-13,0,-5,13,-3,7,14,-12,4,4,4
"2","medium","mc24","dot_cond2_sub2.txt",1,-5,12,8,5,0,8,14,10,-6,5,-10,-13,-4,-12,10,8,-1,14
"2","medium","mc24","dot_cond2_sub2.txt",2,-6,1,1,2,14,-13,-14,14,-10,7,16,-10,8,2,16,-5,-4,-13
"2","medium","mc24","dot_cond2_sub2.txt",3,-2,-13,3,13,10,15,15,-11,11,7,15,-15,9,-11,-9,2,6,-14
"20","mixed","mc24","dot_cond4_sub20.txt",1,-6,-12,3,-12,13,6,0,9,-14,-3,-8,2,9,-9,12,12,13,-7
"20","mixed","mc24","dot_cond4_sub20.txt",2,13,4,1,15,3,-7,6,7,8,-11,-9,-1,-10,6,-14,-2,-6,-10
"20","mixed","mc24","dot_cond4_sub20.txt",3,-12,-8,9,-8,-9,15,-11,13,-13,1,3,-1,10,4,6,-1,16,2
"201","low","mc24","dot_cond1_sub201.txt",1,14,-1,-11,-1,4,-14,-5,15,5,-6,-5,-6,8,-1,-5,2,-4,-14
"201","low","mc24","dot_cond1_sub201.txt",2,11,-13,15,12,-14,-5,-12,-12,-6,13,2,3,7,2,10,-7,8,0
"201","low","mc24","dot_cond1_sub201.txt",3,13,8,-8,13,-13,7,0,-8,-12,5,-3,-2,2,-15,5,-14,-12,-3
"202","medium","mc24","dot_cond2_sub202.txt",1,-14,11,3,2,14,-12,15,-9,4,7,-3,0,11,-5,2,-1,2,4
"202","medium","mc24","dot_cond2_sub202.txt",2,5,2,15,-14,-8,14,-3,1,3,1,-4,-10,-11,-10,7,3,6,8
"202","medium","mc24","dot_cond2_sub202.txt",3,-12,-3,-14,8,-2,-5,-11,1,-2,-15,-11,-9,2,-6,13,5,-3,2
"203","high","mc24","dot_cond3_sub203.txt",1,-6,3,13,8,-7,-3,-6,11,12,6,16,12,5,-7,4,7,5,12
"203","high","mc24","dot_cond3_sub203.txt",2,-5,-14,3,-13,-14,13,-12,-14,-8,10,-1,13,-6,11,15,9,-4,5
"203","high","mc24","dot_cond3_sub203.txt",3,10,-3,12,4,-8,9,13,-2,-1,-12,-1,3,8,-12,-14,5,-3,0
"204","mixed","mc24","dot_cond4_sub204.txt",1,-6,-6,16,-1,-1,15,-2,-5,-15,6,9,2,5,13,10,-5,3,-15
"204","mixed","mc24","dot_cond4_sub204.txt",2,0,7,8,-4,7,15,15,15,0,-10,5,2,-5,-12,7,-2,-5,3
"204","mixed","mc24","dot_cond4_sub204.txt",3,-8,1,0,9,16,-2,9,1,4,15,-9,14,13,3,1,4,8,-4
"205","low","mc24","dot_cond1_sub205.txt",1,7,11,-11,15,0,-15,-12,-2,-4,-3,-8,-9,-3,-7,-11,0,10,-4
"205","low","mc24","dot_cond1_sub205.txt",2,-6,-6,-8,3,-11,13,-15,-14,-15,13,-1,2,-6,-10,5,9,8,-7
"205","low","mc24","dot_cond1_sub205.txt",3,-4,-7,7,9,-10,5,-5,10,0,-13,11,11,-5,-5,-15,1,5,5
"206","medium","mc24","dot_cond2_sub206.txt",1,11,13,-5,12,9,-12,3,10,-10,8,4,-11,13,-6,-2,2,-2,-2
"206","medium","mc24","dot_cond2_sub206.txt",2,1,-10,-7,2,-1,-5,-14,-5,6,-2,-14,-2,-9,16,-4,-3,16,2
"206","medium","mc24","dot_cond2_sub206.txt",3,2,-14,-6,-15,6,-13,3,3,-3,-1,-1,-13,-3,-8,1,-12,-15,15
"207","high","mc24","dot_cond3_sub207.txt",1,12,-3,-10,12,2,5,-5,-12,-7,-9,14,-11,7,9,5,0,-6,12
"207","high","mc24","dot_cond3_sub207.txt",2,9,10,-4,12,16,4,14,14,-5,-7,-4,4,4,-9,3,10,11,-11
"207","high","mc24","dot_cond3_sub207.txt",3,-5,9,-12,2,6,2,-7,-11,-5,6,14,7,-6,-4,-11,-2,-4,15
"208","mixed","mc24","dot_cond4_sub208.txt",1,12,-2,-1,-9,9,11,3,-9,2,3,-8,-1,6,-4,-12,13,-11,6
"208","mixed","mc24","dot_cond4_sub208.txt",2,-5,0,6,1,-8,15,-10,12,-10,9,-4,4,15,2,-8,-6,-11,-12
"208","mixed","mc24","dot_cond4_sub208.txt",3,-15,-2,-12,3,8,-13,8,15,-3,6,14,13,11,7,15,1,-1,-6
"209","low","mc24","dot_cond1_sub209.txt",1,7,-12,7,0,7,11,-1,10,13,-3,2,8,3,2,-10,-6,-4,11
"209","low","mc24","dot_cond1_sub209.txt",2,4,-4,-15,12,14,-4,-2,15,8,-9,15,6,0,-7,11,-14,13,5
"209","low","mc24","dot_cond1_sub209.txt",3,-12,-6,-15,2,10,-7,8,-5,9,1,12,7,10,10,-13,-11,-6,13
"21","low","mc24","dot_cond1_sub21.txt",1,-11,11,0,16,3,5,-4,-11,14,6,-15,-12,-7,-5,0,-7,8,9
"21","low","mc24","dot_cond1_sub21.txt",2,8,1,3,-11,4,-4,4,-14,-9,4,-4,11,9,-2,-10,-10,11,5
"21","low","mc24","dot_cond1_sub21.txt",3,11,-9,10,4,-1,-14,16,-8,0,-8,6,4,7,15,-13,-6,-12,13
"211","high","mc24","dot_cond3_sub211.txt",1,8,7,4,1,1,12,0,-3,1,3,4,-15,-9,-5,7,0,-13,-8
"211","high","mc24","dot_cond3_sub211.txt",2,4,-6,-9,12,7,-2,-9,5,-14,-6,-14,11,1,2,5,9,1,13
"211","high","mc24","dot_cond3_sub211.txt",3,-1,-13,6,16,-13,-10,9,-3,0,-10,-14,4,-4,-4,1,1,8,11
"212","mixed","mc24","dot_cond4_sub212.txt",1,16,7,-1,11,15,-3,-5,-3,-13,-15,0,-11,13,6,5,-2,-14,-12
"212","mixed","mc24","dot_cond4_sub212.txt",2,-14,-12,7,-4,-8,6,-8,9,-14,2,-3,-3,13,-9,-6,2,-1,-6
"212","mixed","mc24","dot_cond4_sub212.txt",3,-4,2,6,-7,-11,-1,-5,15,-5,10,9,10,-6,4,-13,-12,15,13
"213","low","mc24","dot_cond1_sub213.txt",1,-7,-13,3,0,-8,11,-13,-1,15,7,0,-6,10,15,1,-11,-4,-5
"213","low","mc24","dot_cond1_sub213.txt",2,-10,0,2,14,3,-3,-6,-12,4,7,-7,14,-3,15,8,-14,4,0
"213","low","mc24","dot_cond1_sub213.txt",3,-2,14,-10,5,14,9,-11,8,-12,4,4,-6,9,-14,-8,10,-3,-15
"214","medium","mc24","dot_cond2_sub214.txt",1,-15,-11,-8,-3,-5,-13,-4,11,11,-11,4,0,11,16,-9,-9,-1,-6
"214","medium","mc24","dot_cond2_sub214.txt",2,-12,16,3,-12,10,-6,7,-5,4,9,13,5,-12,8,-1,14,-4,6
"214","medium","mc24","dot_cond2_sub214.txt",3,2,9,8,-3,5,0,11,-9,-7,-6,9,5,9,15,-1,14,-7,-3
"215","high","mc24","dot_cond3_sub215.txt",1,10,10,13,-4,0,-13,-5,-8,-8,-11,-8,-8,15,-15,-4,-11,15,0
"215","high","mc24","dot_cond3_sub215.txt",2,14,10,-10,5,-13,10,6,-13,8,-9,3,1,1,8,7,5,10,3
"215","high","mc24","dot_cond3_sub215.txt",3,11,3,1,-11,15,-12,8,-12,14,0,15,13,-5,8,-13,0,-7,13
"216","mixed","mc24","dot_cond4_sub216.txt",1,13,-10,1,-6,-12,8,8,-9,10,-7,5,4,-13,2,-9,-7,13,-3
"216","mixed","mc24","dot_cond4_sub216.txt",2,8,-7,9,14,-4,16,-1,10,7,-14,9,6,14,5,9,-4,2,2
"216","mixed","mc24","dot_cond4_sub216.txt",3,-10,16,3,15,-14,-13,-2,4,2,12,-3,-6,0,-12,-10,3,3,10
"217","low","mc24","dot_cond1_sub217.txt",1,15,11,10,-7,13,4,7,-10,-15,10,-2,-11,4,16,10,-14,8,-3
"217","low","mc24","dot_cond1_sub217.txt",2,13,-15,3,12,-5,-2,-9,15,9,0,3,-4,-3,0,-14,0,-14,-11
"217","low","mc24","dot_cond1_sub217.txt",3,15,-8,-6,-10,11,6,1,-6,-12,3,-10,-12,12,14,5,-14,-9,-9
"218","medium","mc24","dot_cond2_sub218.txt",1,-7,8,4,6,14,10,-6,-7,-15,-10,-3,-15,-2,0,6,-7,-12,-15
"218","medium","mc24","dot_cond2_sub218.txt",2,13,12,8,-11,2,3,-7,-9,-15,-11,-2,-2,7,-6,-10,13,-13,-14
"218","medium","mc24","dot_cond2_sub218.txt",3,6,-1,8,5,-13,1,1,-14,-12,-12,-7,-11,-11,-2,-9,-5,15,-14
"219","high","mc24","dot_cond3_sub219.txt",1,16,-6,6,10,-6,-13,4,-2,10,13,-11,-7,8,3,-5,0,1,8
"219","high","mc24","dot_cond3_sub219.txt",2,1,-6,-8,-13,6,9,8,0,-14,-2,-10,-7,-2,4,-5,1,12,3
"219","high","mc24","dot_cond3_sub219.txt",3,-8,5,13,13,10,-7,13,-12,1,-9,10,-13,-13,-11,15,0,-6,-2
"22","medium","mc24","dot_cond2_sub22.txt",1,-14,-6,-2,1,7,-8,8,7,-2,8,-7,0,-2,-6,-9,-10,9,-7
"22","medium","mc24","dot_cond2_sub22.txt",2,9,7,9,-10,8,5,-12,-15,6,-2,-9,6,6,-6,-9,0,-6,-7
"22","medium","mc24","dot_cond2_sub22.txt",3,12,3,-2,2,-4,8,16,2,15,-4,5,-3,1,-5,-13,-15,6,-14
"220","mixed","mc24","dot_cond4_sub220.txt",1,12,9,-11,10,-15,-3,11,-4,-6,-11,12,5,5,9,-1,-1,-4,-4
"220","mixed","mc24","dot_cond4_sub220.txt",2,8,-10,-9,2,-3,7,4,0,11,-5,7,11,-7,-2,-7,-5,0,6
"220","mixed","mc24","dot_cond4_sub220.txt",3,0,10,-1,15,14,-2,8,0,7,-12,-13,-8,-10,-14,-15,-13,-3,-3
"221","low","mc24","dot_cond1_sub221.txt",1,-7,0,-2,-11,-14,6,-12,-5,-2,13,-8,15,-3,-14,-4,6,9,12
"221","low","mc24","dot_cond1_sub221.txt",2,14,-2,-9,-13,12,-11,-14,2,-4,4,-2,7,-12,-7,1,15,-6,6
"221","low","mc24","dot_cond1_sub221.txt",3,14,-6,-12,-4,-13,-7,-14,-13,-10,2,7,-3,9,-11,-2,14,-6,7
"222","medium","mc24","dot_cond2_sub222.txt",1,-10,11,-13,11,13,-2,15,10,-13,-10,-15,14,7,4,14,-15,11,5
"222","medium","mc24","dot_cond2_sub222.txt",2,-7,-12,14,10,-1,-6,-2,7,-3,15,-1,13,-2,3,1,-3,5,7
"222","medium","mc24","dot_cond2_sub222.txt",3,0,2,13,-7,8,10,5,-5,-4,7,-1,9,13,-3,0,14,1,-13
"223","high","mc24","dot_cond3_sub223.txt",1,-11,-4,12,-4,11,-11,-9,-10,-13,7,5,0,15,-7,1,4,9,-14
"223","high","mc24","dot_cond3_sub223.txt",2,9,16,3,9,-10,9,-11,-13,-5,14,-11,3,3,-4,9,-4,16,-12
"223","high","mc24","dot_cond3_sub223.txt",3,16,3,-12,-10,7,-12,-9,-12,-2,2,-11,15,-6,14,3,7,1,-4
"224","mixed","mc24","dot_cond4_sub224.txt",1,-3,-9,12,-10,-7,-4,2,6,0,13,8,4,15,15,-6,-8,-11,15
"224","mixed","mc24","dot_cond4_sub224.txt",2,13,-1,-14,15,8,-3,-12,5,-1,-15,2,8,-13,-3,7,2,-7,8
"224","mixed","mc24","dot_cond4_sub224.txt",3,-10,3,-1,6,-2,-5,-12,-5,1,9,-9,12,-11,-12,10,-10,-13,-9
"225","low","mc24","dot_cond1_sub225.txt",1,-13,-1,9,-10,-8,1,-4,0,6,-9,-2,-1,8,12,4,-6,-11,6
"225","low","mc24","dot_cond1_sub225.txt",2,13,12,-12,-15,16,-13,-8,-10,-5,4,11,13,7,-15,5,13,0,-7
"225","low","mc24","dot_cond1_sub225.txt",3,1,2,-5,1,-9,1,-1,-4,-13,-7,-3,-7,-3,-11,-2,7,11,3
"226","medium","mc24","dot_cond2_sub226.txt",1,-14,-12,5,-2,-5,-12,13,-13,8,0,9,-10,2,-11,-6,11,5,-9
"226","medium","mc24","dot_cond2_sub226.txt",2,6,-3,-13,15,-1,2,-11,-4,16,-5,-10,-12,11,-11,-12,12,8,15
"226","medium","mc24","dot_cond2_sub226.txt",3,9,-14,4,2,-3,-9,-2,-7,-7,-12,-7,4,-15,5,-3,13,14,-10
"227","high","mc24","dot_cond3_sub227.txt",1,2,-10,-6,13,-2,12,14,16,1,7,2,-3,-13,8,-15,6,-4,-12
"227","high","mc24","dot_cond3_sub227.txt",2,-10,-13,12,-4,-1,-7,1,-12,3,5,-14,2,7,-12,-7,7,15,-8
"227","high","mc24","dot_cond3_sub227.txt",3,-4,-15,-4,6,13,-2,15,13,-2,14,-8,8,-9,-2,-11,-10,-2,1
"228","mixed","mc24","dot_cond4_sub228.txt",1,-3,-14,10,0,0,-9,12,-12,7,8,8,-8,13,-3,6,6,-5,5
